Date,Open,High,Low,Close,Adj Close,Volume
2022-09-03,0.331264,0.332557,0.327591,0.329969,0.329969,473116925
2022-09-04,0.329959,0.332526,0.328944,0.331799,0.331799,431905800
2022-09-05,0.331799,0.333235,0.323366,0.332960,0.332960,761048973
2022-09-06,0.332968,0.342620,0.321077,0.322208,0.322208,1337360825
2022-09-07,0.322158,0.338440,0.315938,0.337367,0.337367,1128804315
2022-09-08,0.337337,0.342603,0.329372,0.340245,0.340245,1065222913
2022-09-09,0.340227,0.357560,0.339999,0.357517,0.357517,1487790472
2022-09-10,0.357468,0.361247,0.353009,0.357681,0.357681,851397394
2022-09-11,0.357683,0.359534,0.351761,0.355119,0.355119,650515883
2022-09-12,0.355145,0.359445,0.349269,0.359445,0.359445,1077587297
2022-09-13,0.359464,0.359643,0.332044,0.333692,0.333692,1443625685
2022-09-14,0.332960,0.343893,0.332426,0.342082,0.342082,1227835854
2022-09-15,0.342075,0.342461,0.325600,0.326335,0.326335,1521572444
2022-09-16,0.326384,0.357134,0.323541,0.356688,0.356688,1375977237
2022-09-17,0.356647,0.378888,0.347569,0.377004,0.377004,1621592330
2022-09-18,0.376868,0.396941,0.358114,0.358323,0.358323,2485765138
2022-09-19,0.358337,0.391495,0.341762,0.387073,0.387073,2788638051
2022-09-20,0.386958,0.421521,0.372490,0.415183,0.415183,3912067532
2022-09-21,0.415166,0.428325,0.388009,0.396828,0.396828,3401100359
2022-09-22,0.396538,0.491229,0.394785,0.485101,0.485101,4916275588
2022-09-23,0.485137,0.552283,0.458918,0.507171,0.507171,7798770582
2022-09-24,0.507200,0.515015,0.474019,0.488716,0.488716,3512953969
2022-09-25,0.488732,0.518314,0.478734,0.492627,0.492627,3422191941
2022-09-26,0.492681,0.499861,0.459837,0.467678,0.467678,2916387564
2022-09-27,0.467764,0.485228,0.440310,0.448776,0.448776,2838537511
2022-09-28,0.448636,0.454379,0.419563,0.450672,0.450672,2670489294
2022-09-29,0.450594,0.502975,0.428528,0.485417,0.485417,3292742359
2022-09-30,0.485435,0.495987,0.472218,0.479774,0.479774,3780354931
2022-10-01,0.479822,0.483517,0.469607,0.475110,0.475110,1544057825
2022-10-02,0.475119,0.477434,0.448158,0.448850,0.448850,1524148633
2022-10-03,0.448868,0.467568,0.439548,0.462879,0.462879,1852548565
2022-10-04,0.462878,0.484598,0.452967,0.480174,0.480174,2192220219
2022-10-05,0.480121,0.499331,0.473405,0.489683,0.489683,2480530357
2022-10-06,0.489699,0.504087,0.489372,0.493184,0.493184,1913140571
2022-10-07,0.493277,0.521646,0.484205,0.518278,0.518278,2627481992
2022-10-08,0.518225,0.527902,0.514383,0.517113,0.517113,1771062053
2022-10-09,0.517149,0.541416,0.508167,0.534061,0.534061,1789206998
2022-10-10,0.534029,0.537319,0.497014,0.497014,0.497014,2359086772
2022-10-11,0.496661,0.500891,0.480910,0.485397,0.485397,2303743073
2022-10-12,0.485413,0.494735,0.483756,0.488370,0.488370,1375026360
2022-10-13,0.488353,0.489096,0.445024,0.480812,0.480812,2840221578
2022-10-14,0.480806,0.509537,0.479304,0.488966,0.488966,2184144921
2022-10-15,0.488957,0.489670,0.479980,0.481507,0.481507,842401177
2022-10-16,0.481530,0.487103,0.471813,0.477010,0.477010,1028960255
2022-10-17,0.477011,0.481262,0.465333,0.479918,0.479918,1476868338
2022-10-18,0.479918,0.483354,0.459844,0.465977,0.465977,1380317427
2022-10-19,0.465988,0.466391,0.450080,0.451227,0.451227,1434466929
2022-10-20,0.451223,0.463786,0.434426,0.448084,0.448084,1712992943
2022-10-21,0.448004,0.461098,0.437806,0.461098,0.461098,1644912255
2022-10-22,0.461087,0.470060,0.457287,0.465470,0.465470,884856882
2022-10-23,0.465490,0.471006,0.453438,0.469033,0.469033,950974305
2022-10-24,0.469037,0.470982,0.449691,0.453821,0.453821,1293537737
2022-10-25,0.453807,0.471014,0.445384,0.461544,0.461544,1605966218
2022-10-26,0.461466,0.470251,0.458092,0.469376,0.469376,1440473976
2022-10-27,0.469395,0.480456,0.460977,0.462407,0.462407,1694861069
2022-10-28,0.462427,0.474674,0.457785,0.473981,0.473981,1201992237
2022-10-29,0.473984,0.481666,0.467697,0.470416,0.470416,1404785407
2022-10-30,0.470407,0.472510,0.455642,0.458455,0.458455,964813817
2022-10-31,0.458401,0.466114,0.449523,0.465915,0.465915,1462007947
2022-11-01,0.465821,0.466401,0.455276,0.464577,0.464577,1273429763
2022-11-02,0.464525,0.465300,0.447824,0.450874,0.450874,1381853436
2022-11-03,0.450885,0.459362,0.450098,0.455135,0.455135,1086924485
2022-11-04,0.455141,0.505111,0.453997,0.504404,0.504404,2774226120
2022-11-05,0.504433,0.507103,0.492104,0.493330,0.493330,1216193223
2022-11-06,0.493325,0.494296,0.470479,0.470670,0.470670,940815148
2022-11-07,0.470684,0.479170,0.462160,0.465857,0.465857,1592938583
2022-11-08,0.465825,0.466629,0.362060,0.406242,0.406242,3984776863
2022-11-09,0.406253,0.409858,0.325815,0.333181,0.333181,3642933610
2022-11-10,0.333153,0.400451,0.331219,0.395705,0.395705,3104223968
2022-11-11,0.395649,0.397683,0.369292,0.384159,0.384159,1720205430
2022-11-12,0.384180,0.384180,0.361415,0.363677,0.363677,931936263
2022-11-13,0.363672,0.368759,0.335337,0.340296,0.340296,1064115311
2022-11-14,0.340330,0.377899,0.323959,0.376406,0.376406,2400878272
2022-11-15,0.376340,0.395937,0.368472,0.388521,0.388521,1966568664
2022-11-16,0.388532,0.390261,0.364856,0.376301,0.376301,1315104592
2022-11-17,0.376290,0.384786,0.370406,0.382544,0.382544,1326199204
2022-11-18,0.382543,0.386376,0.376023,0.383063,0.383063,945178987
2022-11-19,0.383056,0.387444,0.376906,0.384699,0.384699,571403780
2022-11-20,0.384697,0.393585,0.361042,0.361945,0.361945,1156162576
2022-11-21,0.361946,0.367196,0.347797,0.364799,0.364799,2153323835
2022-11-22,0.364724,0.377673,0.352447,0.376061,0.376061,1363821412
2022-11-23,0.376043,0.381789,0.369070,0.381581,0.381581,1100062349
2022-11-24,0.381579,0.403977,0.375442,0.401992,0.401992,1259638131
